2014-10-22 01:37:27 Debug: Notice (8): Undefined property: UsersController::$Auth in [F:\Projects\PHP\aodshop\app\controllers\users_controller.php, line 96]
2014-10-22 01:39:44 Debug: Notice (8): Undefined property: UsersController::$Auth in [F:\Projects\PHP\aodshop\app\controllers\users_controller.php, line 96]
2014-10-22 01:45:22 Debug: Notice (8): Undefined property: UsersController::$Auth in [F:\Projects\PHP\aodshop\app\controllers\users_controller.php, line 96]
2014-10-22 15:50:09 Debug: Notice (8): Undefined property: UsersController::$Auth in [E:\Projects\PHP\aodshop\app\controllers\users_controller.php, line 98]
2014-10-23 14:47:49 Debug: Notice (8): Undefined property: ApiController::$City in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 13]
2014-10-23 14:48:55 Debug: Notice (8): Undefined property: ApiController::$City in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 13]
2014-10-23 16:03:55 Debug: Notice (8): Undefined variable: avergrade in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 17]
2014-10-24 14:11:38 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2025]
2014-10-24 14:11:38 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2029]
2014-10-24 14:11:38 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2033]
2014-10-24 14:11:38 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2034]
2014-10-24 14:11:51 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2025]
2014-10-24 14:11:51 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2029]
2014-10-24 14:11:51 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2033]
2014-10-24 14:11:51 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2034]
2014-10-24 14:12:02 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2025]
2014-10-24 14:12:02 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2029]
2014-10-24 14:12:02 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2033]
2014-10-24 14:12:02 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2034]
2014-10-24 14:12:50 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2025]
2014-10-24 14:12:50 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2029]
